#Mes	Dia	Hora	DiaSemana	Estacion	Sentido	TipoVehiculo	FormaPago	CantidadPasos
1	1	0	3	1	1	1	104	22
1	1	0	3	1	1	1	106	6
1	1	0	3	1	2	1	104	53
1	1	0	3	1	2	1	106	18
1	1	0	3	2	1	1	101	16
1	1	0	3	2	1	1	102	1
1	1	0	3	2	1	1	104	276
1	1	0	3	2	1	1	106	159
1	1	0	3	2	1	2	106	5
1	1	0	3	2	2	1	101	12
1	1	0	3	2	2	1	103	1
1	1	0	3	2	2	1	104	283
1	1	0	3	2	2	1	106	182
1	1	0	3	3	1	1	104	304
1	1	0	3	3	1	1	106	98
1	1	0	3	3	1	2	106	6
1	1	0	3	3	2	1	104	255
1	1	0	3	3	2	1	106	67
1	1	0	3	3	2	2	106	6
1	1	0	3	4	1	1	104	146
1	1	0	3	4	1	1	106	59
1	1	0	3	4	1	2	106	1
1	1	0	3	4	2	1	104	147
1	1	0	3	4	2	1	106	106
1	1	0	3	4	2	2	104	3
1	1	0	3	4	2	2	106	2
1	1	0	3	6	2	1	104	3
1	1	0	3	6	2	2	104	1
1	1	0	3	6	2	2	106	1
1	1	0	3	7	2	1	104	8
1	1	0	3	7	2	1	106	12
1	1	0	3	8	2	1	104	6
1	1	0	3	8	2	1	106	10
1	1	1	3	1	1	1	104	73
1	1	1	3	1	1	1	106	52
1	1	1	3	1	2	1	101	182
1	1	1	3	1	2	1	102	5
1	1	1	3	1	2	1	104	4
1	1	1	3	1	2	1	105	4
1	1	1	3	1	2	1	106	137
1	1	1	3	1	2	2	101	1
1	1	1	3	1	2	2	102	1
1	1	1	3	2	1	1	101	1327
1	1	1	3	2	1	1	102	42
1	1	1	3	2	1	1	103	15
1	1	1	3	2	1	1	104	60
1	1	1	3	2	1	1	105	22
1	1	1	3	2	1	1	106	913
1	1	1	3	2	1	2	101	6
1	1	1	3	2	1	2	102	3
1	1	1	3	2	1	2	103	1
1	1	1	3	2	1	2	106	6
1	1	1	3	2	2	1	101	1059
1	1	1	3	2	2	1	102	13
1	1	1	3	2	2	1	103	17
1	1	1	3	2	2	1	104	24
1	1	1	3	2	2	1	105	21
1	1	1	3	2	2	1	106	764
1	1	1	3	2	2	2	101	5
1	1	1	3	2	2	2	103	1
1	1	1	3	2	2	2	106	2
1	1	1	3	3	1	1	101	887
1	1	1	3	3	1	1	102	7
1	1	1	3	3	1	1	103	14
1	1	1	3	3	1	1	104	52
1	1	1	3	3	1	1	105	15
1	1	1	3	3	1	1	106	552
1	1	1	3	3	1	2	101	9
1	1	1	3	3	1	2	102	2
1	1	1	3	3	1	2	105	1
1	1	1	3	3	1	2	106	5
1	1	1	3	3	2	1	101	643
1	1	1	3	3	2	1	102	1
1	1	1	3	3	2	1	103	4
1	1	1	3	3	2	1	104	18
1	1	1	3	3	2	1	105	18
1	1	1	3	3	2	1	106	305
1	1	1	3	3	2	2	101	2
1	1	1	3	3	2	2	102	3
1	1	1	3	3	2	2	106	4
1	1	1	3	4	1	1	101	537
1	1	1	3	4	1	1	102	3
1	1	1	3	4	1	1	103	4
1	1	1	3	4	1	1	104	8
1	1	1	3	4	1	1	105	3
1	1	1	3	4	1	1	106	507
1	1	1	3	4	1	2	101	1
1	1	1	3	4	1	2	106	6
1	1	1	3	4	2	1	101	443
1	1	1	3	4	2	1	102	7
1	1	1	3	4	2	1	103	2
1	1	1	3	4	2	1	104	4
1	1	1	3	4	2	1	105	6
1	1	1	3	4	2	1	106	441
1	1	1	3	4	2	2	101	1
1	1	1	3	4	2	2	102	1
1	1	1	3	4	2	2	106	3
1	1	1	3	6	2	1	101	10
1	1	1	3	6	2	1	106	14
1	1	1	3	7	2	1	104	5
1	1	1	3	7	2	1	106	29
1	1	1	3	8	2	1	104	5
1	1	1	3	8	2	1	106	47
1	1	2	3	1	1	1	104	100
1	1	2	3	1	1	1	106	57
1	1	2	3	1	2	1	101	234
1	1	2	3	1	2	1	102	1
1	1	2	3	1	2	1	104	1
1	1	2	3	1	2	1	105	9
1	1	2	3	1	2	1	106	180
1	1	2	3	1	2	2	101	1
1	1	2	3	1	2	2	102	1
1	1	2	3	1	2	2	106	1
1	1	2	3	2	1	1	101	1610
1	1	2	3	2	1	1	102	67
1	1	2	3	2	1	1	103	15
1	1	2	3	2	1	1	104	505
1	1	2	3	2	1	1	105	46
1	1	2	3	2	1	1	106	1400
1	1	2	3	2	1	2	101	6
1	1	2	3	2	1	2	102	4
1	1	2	3	2	1	2	106	4
1	1	2	3	2	2	1	101	1446
1	1	2	3	2	2	1	102	13
1	1	2	3	2	2	1	103	12
1	1	2	3	2	2	1	104	64
1	1	2	3	2	2	1	105	35
1	1	2	3	2	2	1	106	1030
1	1	2	3	2	2	2	101	6
1	1	2	3	2	2	2	102	4
1	1	2	3	2	2	2	105	2
1	1	2	3	2	2	2	106	12
1	1	2	3	3	1	1	101	1148
1	1	2	3	3	1	1	102	5
1	1	2	3	3	1	1	103	17
1	1	2	3	3	1	1	104	168
1	1	2	3	3	1	1	105	23
1	1	2	3	3	1	1	106	762
1	1	2	3	3	1	2	101	4
1	1	2	3	3	1	2	103	2
